Geneid,featureCounts on data 282: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM),featureCounts on data 288: Counts_HISAT2 on data 26 and data 25: aligned reads (BAM),featureCounts on data 296: Counts_HISAT2 on data 34 and data 33: aligned reads (BAM),featureCounts on data 300: Counts_HISAT2 on data 38 and data 37: aligned reads (BAM),featureCounts on data 304: Counts_HISAT2 on data 42 and data 41: aligned reads (BAM),featureCounts on data 310: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 312: Counts_HISAT2 on data 50 and data 49: aligned reads (BAM),featureCounts on data 322: Counts_HISAT2 on data 60 and data 59: aligned reads (BAM)
64388,454,1379,801,1056,403,596,347,816
6439,5,8,12,15,19,5,5,14
643904,9,5,6,18,11,16,10,17
643905,0,0,0,0,0,0,0,0
643911,5,22,49,8,27,49,20,20
643923,67,50,52,86,56,40,46,86
64393,5245,9775,9931,14267,15597,6386,6476,8538
64395,854,1515,1414,2623,2354,1261,1000,1387
643955,0,0,0,0,0,0,0,0
64396,8,17,17,14,25,10,3,12
643965,30,24,12,54,32,39,23,12
64397,10390,18207,24449,29055,32582,14780,12155,16079
643977,15,7,10,21,52,36,22,21
64398,3575,5453,5561,11528,8892,5387,3982,4852
643988,55,70,123,83,174,36,66,52
64399,3148,2682,2180,9570,4469,3805,2866,2849
644,382,680,831,1037,1177,521,418,539
6440,33,11,20,40,46,15,12,11
64400,1848,3371,3954,5561,5152,2611,2227,2604
644019,812,874,937,1238,1161,781,618,1104
64403,172,175,184,140,292,100,83,96
644041,0,2,2,0,0,0,0,6
64405,440,380,1041,392,934,232,195,352
644050,24,27,45,25,63,6,17,5
644054,0,0,0,0,0,0,0,0
644068,71,53,69,88,104,72,44,71
64407,15,197,103,592,222,129,86,58
644070,0,55,48,86,22,8,2,47
644076,3,0,0,0,0,0,0,0
64409,1825,1917,4313,2399,3874,1462,1437,3121
644093,13,6,15,17,25,8,8,1
644096,85,163,191,274,289,137,122,113
6441,65,38,58,58,135,53,27,36
64410,148,125,230,164,452,167,121,165
644100,4,0,0,3,0,4,0,0
64411,95,113,161,115,468,100,57,120
64412,1192,1897,1931,3312,3162,1620,1243,1551
644128,593,866,861,1515,1342,574,591,706
644139,109,115,218,177,179,196,270,358
644145,0,2,0,4,0,2,0,2
644150,2065,2776,2197,2338,1776,1733,1667,4476
644165,6,7,3,4,13,3,2,3
644168,4,14,43,0,30,13,8,6
64417,275,373,477,812,752,381,281,402
644172,0,0,0,1,0,2,0,2
64418,1198,1634,1229,3624,2515,1600,1385,1541
644186,4,4,6,6,11,4,1,9
644189,18,19,26,37,39,12,34,19
64419,398,529,620,919,968,561,381,452
644192,63,65,95,77,160,54,39,20
6442,11,5,13,8,20,6,7,3
64420,1150,1680,2624,2552,2963,1264,882,1408
64421,612,826,821,1595,1388,863,649,777
644215,20,12,14,15,23,8,11,4
64422,1412,2296,2493,5226,3815,2074,1685,1810
64423,1428,1025,1440,1311,2698,1007,638,904
644242,20,62,78,69,108,29,19,52
644246,0,0,0,0,0,0,0,0
644248,1,1,6,9,13,2,3,8
644249,34,45,103,80,57,51,61,23
64425,385,581,819,1023,1175,584,453,534
64426,3090,3991,6431,6638,7821,3442,2949,3855
64427,195,225,240,272,327,215,126,152
644277,3,1,0,0,0,4,1,8
64428,227,261,427,380,645,266,210,270
644285,844,701,684,1612,1070,971,710,850
64429,646,1123,1151,2012,1529,871,700,952
6443,3586,4497,5428,8067,7013,3828,3091,3822
64430,1730,2679,2907,4099,4799,2175,1878,2375
64431,1033,2089,2071,3654,2525,1901,1403,2023
644314,0,0,0,0,4,0,0,1
644316,13,9,2,4,9,17,2,1
64432,1607,1935,2657,2476,3423,1596,1349,1647
64433,3,0,3,0,3,6,2,3
64434,730,952,1531,1497,1789,849,664,793
644353,191,199,302,238,443,142,187,183
6444,1286,1439,1633,2545,2821,1364,1204,1315
644414,9,0,3,1,0,0,0,2
644444,1,0,0,0,5,0,2,3
64446,1,3,5,0,6,12,2,5
6445,83,85,66,145,74,62,47,66
644511,24,23,27,59,24,24,22,24
644524,0,2,0,2,7,9,4,0
644538,150,160,207,247,335,163,124,146
644554,121,166,203,234,285,104,134,103
644591,2,1,0,3,10,1,0,0
644596,807,908,1571,1005,2064,589,648,848
6446,1212,2192,1218,5945,3918,2474,1758,1745
644619,86,58,88,93,128,57,33,65
644634,0,0,2,0,0,2,0,0
644649,1,3,17,13,5,12,7,12
644656,60,84,93,138,133,73,65,64
644660,15,36,38,49,40,26,28,23
644669,0,7,4,3,6,0,2,0
644672,0,0,0,0,0,2,0,0
644694,1,2,0,3,0,1,5,7
6447,968,440,111,261,155,151,101,195
644714,0,9,25,15,22,9,5,9
644717,0,0,0,0,0,0,0,0
644759,37,22,17,52,31,25,18,50
644762,13,48,37,68,39,36,19,12
644767,62,29,65,26,127,44,29,46
64478,6768,6368,8662,6717,13124,5187,4203,7402
644794,20,17,19,15,28,9,7,13
6448,88,86,141,73,301,60,66,58
644809,14,14,10,23,15,11,23,8
644815,14,8,5,8,6,16,9,18
644838,6,10,13,15,14,5,7,5
644844,1,0,0,4,1,0,2,0
644861,0,0,0,0,0,1,1,0
644873,1042,1000,881,2300,1551,1140,837,884
644890,7,8,20,9,13,14,9,11
6449,724,649,981,1242,1457,690,518,622
644919,2,3,0,3,9,2,3,0
64493,0,0,0,0,0,0,0,0
644936,5,11,3,11,8,2,1,13
644943,10,37,48,58,85,41,41,18
644945,0,2,4,3,0,9,0,0
644961,109,126,162,114,243,86,104,126
644962,63,76,115,55,179,52,36,33
644974,2,0,1,6,4,3,1,1
64499,3,1,0,6,2,0,0,9
644990,13,8,28,21,33,13,12,12
644994,0,0,0,0,0,0,1,0
644997,0,6,8,13,16,2,0,2
645,101,231,362,368,545,229,175,153
6450,381,541,682,1011,1343,581,449,538
645027,2,2,1,2,0,0,0,0
645030,86,65,44,118,121,87,53,47
645037,0,0,1,0,0,0,0,0
64506,27,26,38,51,46,27,23,39
645073,0,0,0,0,0,0,0,0
6451,1719,2942,3884,6311,6203,2809,2340,2604
645104,0,0,2,0,1,0,2,2
645121,532,374,448,647,632,531,381,360
645142,0,4,0,2,1,1,0,0
645158,26,38,54,75,93,43,38,31
645166,43,39,57,61,71,19,15,42
645177,80,38,57,24,129,144,22,10
64518,26,39,51,51,99,58,46,21
645188,12,13,13,15,13,2,7,14
645191,50,62,89,78,119,54,46,47
6452,667,899,1064,1301,1588,687,503,576
645202,0,0,0,0,0,0,0,0
645206,78,75,117,126,228,73,76,67
645212,238,481,565,750,854,354,318,316
645249,0,0,0,0,0,0,0,0
6453,7444,10719,17122,13290,22092,7399,6806,8374
645323,2336,3894,4048,6755,6216,3211,2637,2643
645332,35,22,39,37,62,44,34,52
645339,1,2,4,8,10,6,1,4
645354,0,0,0,0,0,0,0,0
645355,2,0,0,0,5,0,0,0
645359,0,0,0,0,0,0,0,0
645367,4,13,9,13,13,7,8,29
645369,258,338,402,458,635,221,179,208
645382,0,0,0,0,0,0,0,0
645402,3,4,13,11,20,3,10,2
645414,0,0,0,0,0,0,0,0
645425,2,0,0,0,8,0,0,0
645426,10,43,18,14,26,12,2,5
645431,8,5,16,29,27,15,22,14
645432,16,40,92,44,101,49,40,23
645434,11,30,32,32,52,20,23,18
645455,78,141,160,315,223,98,100,118
6455,304,303,492,385,805,254,154,305
645513,253,535,302,591,947,479,372,440
645520,0,0,0,0,0,0,0,0
645528,3,0,3,10,7,3,6,0
645553,30,16,23,22,30,30,16,31
645591,52,39,52,29,96,29,22,32
6456,3342,6414,10069,12217,10652,4334,3922,6237
645638,5,4,5,11,8,13,9,8
645644,162,129,318,150,418,179,155,144
645676,29,40,51,55,80,45,29,62
645682,16,10,24,9,28,17,16,13
645683,21,8,15,37,29,21,22,20
645687,20,10,16,10,17,13,14,10
6457,5002,5474,5843,11038,13917,6561,4059,4253
645700,133,222,203,141,198,64,127,125
645745,2,2,6,0,13,1,0,3
645752,23,88,63,32,3,93,10,34
64577,293,257,318,339,560,402,204,395
645784,2204,3143,4264,3989,6354,2756,2006,1709
64579,391,650,131,1234,145,405,287,376
6458,63,51,83,54,171,25,20,62
64581,31,310,394,709,683,374,297,273
645811,46,20,67,27,63,25,17,16
64582,823,766,727,1016,1113,637,579,960
645832,1,1,2,1,12,9,0,2
645836,4,1,9,0,11,1,15,2
645840,18,4,6,8,36,12,4,12
645843,233,221,199,578,340,335,294,294
645864,2,9,2,8,5,0,0,0
645884,0,0,2,0,0,0,1,0
6459,41,40,62,63,135,37,37,52
64591,0,0,0,0,0,0,0,0
645922,0,0,0,0,0,0,0,0
64593,0,0,0,0,0,0,0,0
645949,0,0,0,4,1,0,0,2
64595,1187,1804,2232,2846,3056,1544,1228,1497
645954,10,6,26,2,18,6,1,8
645958,100,127,119,136,236,122,94,84
645961,8,9,4,4,6,13,5,10
645974,83,89,89,111,118,46,46,89
64598,18,23,69,64,92,33,25,34
64599,1217,1053,1640,1407,2600,1078,723,1089
645996,33,43,42,45,111,29,22,33
646,14,10,11,23,10,12,23,31
64600,0,0,2,0,4,0,1,0
646000,0,0,0,0,0,0,0,0
64601,372,579,670,763,1067,466,360,521
646019,17,4,20,16,35,20,11,2
646023,31,26,43,14,25,8,7,11
646024,0,0,4,0,0,0,0,6
646029,36,22,12,37,38,37,13,60
646074,6,0,5,7,5,0,0,6
646096,0,0,0,2,0,0,0,1
6461,336,314,340,730,605,321,209,321
646113,2168,5514,7311,8898,5272,2991,3356,4238
646127,101,156,128,192,182,136,86,159
646168,4,7,3,9,1,0,1,4
646174,4,0,0,0,10,0,1,2
6462,14,9,11,20,28,8,12,16
646201,17,6,24,22,57,8,7,11
646214,83,111,39,172,109,93,30,94
646243,2,2,1,0,6,3,0,2
646262,0,0,0,0,0,0,0,0
646268,0,0,0,0,0,0,0,0
646278,368,522,715,559,1102,466,167,338
646282,1,0,0,0,0,0,3,1
646300,82,67,75,47,110,38,65,46
646324,228,205,57,235,35,113,144,160
646396,11,10,40,32,45,16,13,11
6464,400,425,596,557,833,315,281,435
646405,870,518,1010,646,1685,477,328,510
64641,15,15,1,6,3,6,5,8
646424,42,14,14,50,11,26,30,37
64645,1511,2190,2432,5964,2916,2128,1695,2060
646450,35,41,61,109,100,36,57,35
646457,3,5,11,8,8,9,3,3
646471,293,229,320,334,387,330,254,229
64648,2,0,0,0,0,0,0,0
646480,0,0,0,6,2,1,0,1
646486,2,6,8,10,4,5,9,2
646498,2,0,5,0,4,5,1,0
646508,0,0,0,0,0,0,0,0
64651,182,196,214,336,340,191,133,157
646522,2,4,2,7,9,2,2,1
646576,40,47,55,114,94,55,40,78
646588,4,2,14,4,9,4,1,4
646600,1,0,0,3,2,0,1,5
646603,24,12,17,26,34,18,12,22
646625,0,2,3,1,0,1,0,0
646626,6,21,29,27,18,4,9,13
646627,66,101,309,121,434,79,53,69
64663,0,0,0,3,0,0,2,0
646643,0,0,0,0,0,0,0,0
646658,362,50,401,35,120,30,35,57
646670,1,4,2,2,3,4,0,1
646719,1208,3994,1490,3131,4823,2497,2057,3078
646730,2,4,16,2,6,13,0,2
646736,2,1,0,7,0,0,2,0
646743,0,0,0,0,0,0,0,0
646754,0,0,0,0,0,0,0,0
646762,692,989,1261,1161,1393,513,565,627
646799,0,3,0,0,2,0,0,0
6468,771,813,1064,1322,1957,874,552,581
646802,0,0,0,0,0,1,0,0
646813,1,3,9,2,5,4,0,0
646817,123,282,282,400,358,255,150,162
64682,1376,2118,2398,3543,3180,1830,1417,2092
646851,537,518,747,614,1197,529,392,488
646862,8,12,12,6,20,10,9,5
64689,487,745,973,1120,1351,806,680,683
646892,14,25,53,5,58,23,4,13
6469,16,9,55,38,59,21,18,30
646903,79,131,105,186,184,95,66,136
646915,24,23,50,38,29,43,9,10
64693,12,26,14,37,30,18,10,7
646938,0,1,2,4,1,1,1,1
646960,0,2,1,9,3,2,3,2
646962,15,10,9,8,17,3,8,7
646982,29,29,27,35,65,39,30,21
64699,11,46,79,60,73,12,43,12
6470,133,293,197,286,502,181,149,145
647012,3,8,10,9,9,2,0,7
647024,2,7,9,9,11,6,3,1
647033,148,193,161,133,272,119,92,124
647042,4,2,3,5,9,1,0,0
647060,0,2,0,0,0,0,0,0
64708,939,1132,1371,1492,1928,1005,653,915
647087,569,967,766,1582,1537,558,513,685
64710,22899,36017,38875,67817,61540,32045,25194,29638
647107,1,0,0,0,0,0,0,1
64711,0,0,0,0,0,0,0,0
647121,145,153,248,385,282,126,74,196
647135,1968,3250,2718,4570,5180,2632,1642,2863
64714,153,166,343,231,846,194,103,166
647166,2,4,8,2,4,9,10,40
64717,0,0,0,0,0,0,1,0
647174,60,30,63,126,97,96,60,77
64718,668,679,847,941,1044,532,407,591
647190,276,183,169,314,306,707,205,221
6472,225,379,418,463,554,270,194,286
647219,6,3,8,6,8,4,5,7
647286,2,2,9,3,1,0,0,2
647288,16,6,22,47,18,4,14,25
6473,1,2,1,1,1,2,0,0
647309,2,10,23,18,16,28,19,26
647310,10,9,25,13,20,10,7,11
647323,1,0,0,0,1,0,0,1
64735,0,0,0,0,0,0,0,0
6474,0,2,1800,6,3,2,1,63
64743,693,832,1553,1225,2464,786,570,784
64744,2778,4270,5364,5475,7148,3190,2432,3977
64745,238,332,328,565,666,372,292,296
64746,1703,2875,3475,5932,4900,2616,2120,2371
64747,910,1511,1516,3373,2610,1537,1199,1186
647476,0,0,0,0,0,0,0,3
64748,849,584,914,630,1111,433,549,1021
64750,2244,3061,3267,5128,5242,2412,2035,1932
64753,2380,2424,4764,3288,4534,2172,1501,2330
64754,625,1085,1228,1675,1726,891,751,1147
64755,607,617,749,979,1141,570,484,642
64756,2073,3716,4273,5806,6447,2807,2472,2863
64757,363,529,675,640,916,376,364,496
647589,4,0,0,0,0,0,0,2
64759,3030,3713,6218,4779,9196,2654,2417,2320
6476,10,2,9,15,21,18,13,13
64760,412,305,513,404,923,315,245,248
64761,177,202,247,388,424,265,202,163
64762,2229,3030,2317,5151,3337,2502,2153,3213
64763,131,183,215,282,331,139,94,153
64764,786,847,672,1225,1806,942,730,736
64766,1310,1385,1521,2388,2569,1613,1161,1374
64768,526,574,723,1060,1175,626,485,608
64769,1579,3429,4662,6680,6215,2825,2417,3184
6477,278,428,399,1055,814,411,298,404
64770,2310,2617,3401,5183,5182,3117,2414,2915
64771,2809,4163,6935,5168,7928,2984,2197,3282
64772,349,359,650,381,882,309,313,236
64773,235,259,349,400,653,282,187,223
64776,169,332,435,557,626,320,261,235
64777,388,483,627,566,902,370,339,390
64778,1020,1292,1785,2527,3535,1217,1174,1133
64779,195,276,269,354,474,238,194,186
6478,346,498,619,811,701,326,290,416
64780,808,611,1359,659,1945,459,417,441
64781,1521,2557,4162,3679,3831,1955,1683,2190
64782,148,116,285,213,275,145,149,147
64783,957,1198,1463,2428,2270,1287,1021,1225
64784,955,836,760,1297,1556,816,621,795
64785,56,103,80,123,117,105,64,73
647859,2,159,0,0,54,75,55,2
64786,2164,2659,3042,4454,4849,2293,1722,2588
64787,155,161,200,161,214,108,45,142
64788,792,681,940,1017,1755,644,594,791
64789,261,329,393,526,822,401,188,284
64792,384,788,1028,1043,1334,597,430,612
64793,864,951,1197,1829,1776,1088,767,909
64794,266,403,436,582,750,354,323,343
647946,2,3,8,8,57,7,2,7
64795,4428,7297,9394,13255,13415,5776,5001,5832
647979,31309,54839,68688,113952,104128,37771,34769,41790
64798,1013,1199,1388,2627,1891,1316,900,1014
64799,287,263,305,506,595,304,231,361
648,40,65,86,160,130,53,45,57
6480,827,2384,2116,3114,3972,2364,1297,1328
64800,889,1265,1755,1522,3210,1000,841,994
64801,551,963,1054,1569,1504,680,614,864
64802,368,510,750,913,1083,526,401,466
64805,408,5264,3326,11179,8190,4296,3030,2006
64806,0,0,2,0,1,0,2,0
64816,33,16,14,40,72,30,32,52
6482,1285,1352,1693,1655,1761,968,813,1040
6483,522,593,852,791,868,499,457,621
64834,525,567,508,2157,861,741,499,460
64837,1464,1348,1895,1455,2460,1251,907,1639
64838,564,832,1184,1110,1172,541,436,753
64839,3425,6156,6553,8695,9639,4476,3344,5355
6484,331,302,404,622,595,357,251,294
64840,210,196,215,355,286,177,163,270
64841,498,1137,1297,1896,1619,740,618,935
64843,4,0,2,0,1,0,0,0
64844,2723,3994,4540,7615,7660,3653,2923,3348
64847,610,870,1163,994,1889,568,585,381
64848,2820,4423,4807,6838,6515,4310,2981,4095
64849,537,397,441,881,815,606,363,411
64850,5555,10415,9859,11375,21821,6043,6236,4491
64852,159,185,180,223,364,188,122,120
64853,306,719,783,987,1117,494,380,553
64854,5089,8141,10028,13653,13361,6314,4938,7737
64855,283,303,599,339,776,312,253,214
64856,355,243,280,803,647,371,254,266
64857,63,41,87,60,123,64,32,39
64858,177,228,236,396,359,252,242,225
64859,144,313,499,597,590,317,295,229
64860,362,512,542,905,801,506,380,552
64863,364,461,455,905,704,382,302,424
64864,1696,1988,2261,2992,3552,1512,1388,1973
64866,32,74,36,93,36,51,28,82
648691,0,0,0,0,0,0,0,0
6487,495,532,831,838,925,448,367,600
648740,269,204,210,303,441,219,178,182
648791,46,78,134,63,139,37,34,43
648809,247,232,272,238,326,106,113,155
64881,748,1820,1162,2784,1471,1464,1542,1326
6489,2250,3156,3622,5175,3561,2795,2362,3157
64895,1240,2036,2024,3599,2892,1662,1367,1984
64897,613,810,1114,1240,1437,586,535,781
648987,57,52,61,88,131,81,54,33
649,155,167,230,184,364,170,83,114
6490,8,8,17,6,15,7,6,8
64900,52,88,75,90,162,49,49,69
64901,488,974,1056,1741,1805,825,408,332
64902,1,1,0,0,0,0,0,7
6491,247,285,379,520,620,240,204,281
649133,0,0,2,2,0,0,0,0
649159,0,0,0,0,0,0,0,0
649179,2,0,0,0,0,0,0,0
64919,3168,3450,1546,4321,2058,2839,2262,5421
6492,2,2,7,0,12,1,0,0
64921,3896,7071,5871,15341,7546,6121,4599,7484
64922,92,61,75,208,121,126,103,88
64924,1022,1565,1506,3517,2751,1405,1202,1650
64925,114,140,165,193,250,123,108,123
64926,9,70,75,97,100,50,43,22
649264,0,0,0,0,0,0,0,0
64927,410,459,555,828,1079,588,437,330
64928,97,186,259,242,377,173,126,177
6493,144,202,206,383,274,209,180,220
649324,0,0,0,0,0,0,0,0
649330,3,4,7,9,0,7,1,1
649352,7,14,7,4,11,5,16,10
649395,76,99,135,159,245,90,78,123
6494,86,167,221,308,410,159,118,158
64940,346,493,601,938,1184,546,398,539
64943,139,205,244,313,316,168,100,159
649446,293,209,298,187,364,184,211,219
64946,67,118,80,224,134,69,72,86
64949,257,418,520,543,749,297,229,305
6495,21,15,7,5,21,5,9,10
64951,4,5,6,7,17,2,4,3
6496,0,5,19,0,6,18,0,4
64960,613,1000,1480,1469,1596,783,617,851
64963,543,727,956,1102,1178,613,477,725
64965,655,1267,1270,2708,1472,1110,944,1047
64968,679,831,1428,1002,1569,672,587,845
64969,1173,1610,2453,2606,3123,1729,1175,1368
6497,2871,2405,3310,2787,4958,1502,1434,2477
64975,235,242,518,285,974,217,178,206
64976,258,476,534,738,786,382,331,335
64978,202,251,382,295,519,191,168,219
64979,77,157,209,240,267,105,87,96
6498,3718,6895,6656,13140,9767,5194,3955,6160
64981,137,303,411,490,517,284,202,264
64983,438,728,840,1193,1056,534,543,690
6499,0,0,1,8,0,4,0,0
649946,144,106,78,250,204,116,126,186
650,132,234,178,302,208,149,147,172
6500,5370,10875,13794,19081,17438,8325,6569,8894
65003,123,237,358,453,531,194,162,196
65005,429,837,1086,1535,1451,729,551,683
65008,522,955,978,1631,1302,796,606,915
65009,15735,18922,28569,25160,26106,13624,11458,18398
65010,98,84,120,180,234,103,86,63
65012,181,163,224,180,269,85,128,171
65018,1215,1824,2507,2803,3596,1462,1262,1393
6502,468,658,590,1507,1158,684,576,675
650226,103,37,27,57,70,52,4,10
650293,0,0,0,0,0,0,0,0
6503,167,547,499,830,834,427,400,518
650368,25,19,31,16,52,20,6,9
6504,3,1,0,2,3,7,2,5
6505,1294,2281,1995,4010,2143,1553,1418,2128
65055,2217,3571,4008,4895,3829,2501,2078,3756
65056,5497,8869,11395,15198,16547,7643,6245,7152
65057,94,116,142,166,296,80,80,117
65059,3270,5470,6210,6445,7390,3462,3082,5045
6506,186355,355226,315920,558830,707087,210429,221173,150809
65061,89,43,34,41,19,20,57,52
65062,826,1613,1633,3376,2460,1425,1240,1311
650623,1035,1175,1373,1105,973,694,542,1092
65065,2832,3441,4471,6697,6543,3801,2676,3300
650655,156,120,197,191,385,108,113,159
650669,19,19,25,32,56,5,10,15
6507,21475,37283,46593,66211,89826,27884,26450,18491
65072,42,49,74,93,88,79,69,57
65078,124,122,215,170,241,62,79,157
650794,65,67,116,113,167,115,123,65
6508,1884,1697,3145,1663,3388,1163,1232,1781
65080,380,816,915,1289,999,624,450,652
65082,663,1117,1305,1944,1722,992,788,1149
65083,520,590,798,817,1135,518,447,683
65084,1811,2627,2638,5391,5003,2494,2014,2202
6509,2779,3761,5383,5221,7993,2783,2983,2432
65094,46,48,76,74,125,53,44,37
65095,534,450,506,832,901,475,361,504
651,79,122,135,371,97,63,108,59
6510,42,61,74,120,116,132,49,73
65108,1592,1507,1771,3130,3426,1707,1357,1192
65109,934,1112,1346,1806,1886,921,653,732
6511,141,220,267,296,298,165,159,224
65110,1703,1977,2291,2698,4215,1902,1185,1523
65117,3775,5254,5781,9599,8932,4450,3730,4524
6512,4,1,21,11,8,17,13,37
65121,0,0,0,0,0,0,0,0
65122,0,0,0,0,0,0,0,0
65123,27,24,106,124,761,22,24,91
65124,164,250,297,598,466,281,204,161
65125,23122,27980,25131,28534,42707,20590,13325,18095
6513,1141,1186,1024,1732,2101,951,662,870
651302,201,199,345,400,526,338,143,177
6514,59,78,48,178,58,197,113,82
651430,34,49,28,79,79,28,28,46
6515,1484,4190,3331,4251,2751,1929,1427,2823
6517,52,33,50,52,172,29,54,34
651746,2134,2129,2318,2345,3290,1251,1586,4212
6518,72,491,403,842,771,556,343,295
6519,38,44,51,78,80,54,30,64
652,18,18,37,38,43,27,8,14
6520,960,1224,1897,1827,2563,1322,1001,1195
6521,4,0,2,7,3,5,4,0
65217,2704,2597,3690,3525,5954,2661,1789,1994
6522,329,293,398,573,533,451,254,193
65220,483,459,787,673,1002,332,309,487
652276,76,74,211,128,270,76,61,75
6523,17,2,10,6,21,8,6,4
6524,27,11,7,18,8,7,10,14
65243,595,675,1165,846,1435,524,381,669
65244,1302,1835,2349,2129,2799,1238,989,1783
65249,83,104,121,83,166,47,44,78
6525,208,160,253,223,420,132,107,115
65250,8493,9933,13693,14792,18105,9273,7102,9247
65251,804,879,905,1818,1748,1119,874,751
65258,198,334,437,541,657,388,267,334
6526,3510,5140,6599,9784,7436,3996,4027,5378
65260,481,664,906,1027,1157,596,503,643
65263,0,13,0,0,1,2,0,2
65264,1454,1962,2387,3302,2792,1674,1214,1865
65265,726,1100,1116,1702,1618,854,641,823
65266,52,37,35,46,58,44,26,35
65267,1498,2744,3741,4974,5057,2153,1814,2228
65268,3579,1847,3847,1766,5305,1697,1385,2358
6527,305,154,187,178,179,132,151,359
6528,34,33,25,13,16,113,4,14
6529,5873,7567,8884,10971,13551,5266,5392,5341
652965,82,153,173,48,213,174,95,120
652966,118,419,408,821,678,390,293,276
652968,39,70,82,81,187,48,45,35
652972,0,0,0,2,0,0,0,0
652991,6,0,0,0,0,0,0,0
652995,2,0,1,0,2,5,2,1
653,35,24,96,36,31,58,24,41
6530,6,6,29,17,12,4,5,5
653061,7,22,64,28,106,18,4,7
653067,0,0,4,0,2,0,0,0
653073,1,2,2,0,4,2,0,3
653075,0,1,0,0,6,5,0,0
653082,655,964,1836,828,1575,778,472,1057
6531,0,0,0,0,0,0,2,2
653113,63,66,78,54,150,93,45,108
653121,568,594,971,1227,1471,645,416,656
653123,0,0,0,0,0,0,0,0
653125,21,42,63,61,53,48,27,32
653140,78,79,102,119,288,105,54,141
653145,31,42,29,16,11,12,31,31
653149,1,1,4,7,4,5,2,4
653160,36,26,13,34,101,51,40,55
653162,7,30,22,25,45,8,8,15
653166,0,2,2,0,0,0,2,0
653188,1,3,6,0,2,5,11,4
653190,23,18,19,17,11,17,6,9
653192,0,3,0,0,8,4,0,0
6532,35,31,36,58,63,44,48,47
653203,0,0,0,2,0,0,0,0
653220,0,0,2,0,0,0,0,0
653238,13,109,7,11,70,166,122,86
653240,0,0,0,0,0,0,0,0
653247,9,9,6,4,4,7,3,3
653268,5,11,3,13,134,9,14,38
653269,14,17,9,25,19,6,3,26
653275,1,1,5,1,0,1,0,0
653282,0,0,0,0,0,0,0,0
6533,922,878,1401,1630,1848,842,696,953
653308,205,565,588,668,697,325,260,371
653316,171,314,759,390,1173,166,168,192
653319,740,893,1301,1127,1914,710,610,800
653333,13,18,20,16,53,6,3,10
653361,0,12,12,21,25,14,15,12
653390,200,232,327,314,663,232,224,114
6534,510,285,680,384,1067,272,276,441
653404,14,15,13,17,13,5,2,18
653423,0,0,0,0,0,0,0,0
653427,25,38,28,43,16,22,18,53
653437,7,4,7,2,12,0,0,2
653464,875,1089,1180,1717,1852,841,602,1088
653479,232,210,261,215,269,235,106,210
653483,24,12,32,21,42,30,12,16
653486,0,0,0,0,0,0,0,0
653489,186,331,500,675,739,335,236,288
653492,42,24,23,27,36,29,42,27
653499,0,0,0,0,0,0,0,0
6535,1231,1372,1537,1580,2301,916,817,1099
653505,0,5,0,0,2,2,2,2
653509,23,16,33,15,16,14,19,16
653513,1138,1158,2060,1975,2415,1281,1220,1145
653519,103,152,134,239,221,158,114,181
653550,0,0,0,0,0,0,0,0
653567,5,37,16,79,70,25,28,15
653583,39,64,113,87,145,58,47,54
653598,0,0,0,2,3,1,3,0
6536,227,219,274,546,358,253,211,236
653602,67,161,128,196,138,91,66,111
653604,3,5,7,10,20,16,9,13
653606,0,0,0,0,0,0,0,0
653619,0,0,0,0,0,0,0,0
653635,21,19,25,24,45,14,7,9
653641,4,0,3,4,3,6,1,0
653643,0,1,1,0,3,2,0,0
653645,36,60,87,123,60,62,35,48
653653,80,129,241,450,253,120,129,136
653656,0,0,0,1,0,0,0,0
653657,0,0,0,1,0,0,0,0
653659,221,472,595,754,794,297,272,332
653677,23,9,13,18,57,6,8,7
653687,11,5,17,12,8,2,6,9
653689,8,4,6,6,8,42,6,0
653691,0,2,0,2,2,0,0,1
653712,12,9,24,20,79,20,15,11
653720,7,12,8,9,13,11,2,7
653781,7,2,2,0,2,0,0,0
653784,199,357,442,366,785,254,209,242
653786,4,15,4,5,12,15,11,7
6538,519,534,1460,843,1710,410,418,395
653808,0,0,0,0,2,0,0,0
653820,10,11,16,23,8,11,10,16
653857,613,600,895,1282,1087,782,443,578
6539,243,225,339,270,598,273,188,170
654,71,134,95,128,209,65,36,68
6540,167,225,136,124,233,112,120,156
6541,3161,2327,3244,2900,2879,1936,1695,3365
6542,820,1043,1765,2842,3293,1390,1618,1193
654231,12,6,24,7,45,2,6,6
654254,74,32,59,253,159,91,24,70
6543,1886,1254,2049,1532,2501,1068,945,1944
654319,17,30,24,49,54,31,20,30
654320,141,327,301,637,754,227,181,222
654321,41,40,38,14,46,14,12,58
654322,3,6,4,7,2,5,3,8
654342,6,14,21,9,14,13,1,2
654346,0,0,0,0,0,0,0,0
654364,0,0,0,0,0,0,0,0
654412,0,2,1,6,2,2,0,0
654429,303,247,682,487,483,212,228,341
654433,417,956,785,133,1299,74,306,576
654434,114,90,134,97,222,69,78,71
654463,52,21,188,28,111,19,39,15
654466,436,815,901,1345,887,609,546,889
654483,0,2,8,0,2,1,5,59
6545,65,79,62,77,83,57,34,65
654502,577,429,463,719,280,350,326,722
6546,17446,34803,35511,53874,46232,24276,24490,33104
